turma,horas,nota,faltas,faixa_horas
B,9.9,8.5,3,muito
A,5.7,6.3,4,pouco
A,7.9,9.6,4,medio
B,-0.1,2.8,5,
C,5.4,5.5,13,pouco
B,7.4,8.4,8,medio
A,4.9,5.0,1,pouco
A,12.1,8.4,4,muito
B,4.4,4.1,11,pouco
C,6.9,5.0,2,medio
C,8.3,7.5,3,medio
A,11.6,10.0,9,muito
A,4.4,6.8,5,pouco
C,10.9,10.0,11,muito
B,8.0,7.4,7,medio
A,5.5,6.7,0,pouco
A,9.2,6.2,9,muito
C,8.5,8.2,13,medio
B,6.5,7.3,7,medio
C,8.2,6.2,10,medio
B,7.0,8.1,13,medio
B,8.3,8.1,6,medio
B,9.7,8.3,0,muito
A,12.0,10.0,1,muito
C,4.9,7.7,2,pouco
C,13.3,10.0,0,muito
B,3.1,4.4,13,pouco
A,7.6,6.9,8,medio
A,9.5,7.8,7,muito
C,8.7,8.9,1,medio
A,6.4,5.7,12,medio
A,7.5,7.3,8,medio
B,6.8,6.3,6,medio
A,6.5,7.0,8,medio
B,10.1,9.4,5,muito
C,8.9,9.3,5,medio
A,6.3,5.9,10,medio
C,10.2,8.9,13,muito
C,8.8,7.2,3,medio
A,10.0,8.6,9,muito
A,9.6,9.1,9,muito
